City,Place,Ratings,Distance,Place_desc,Predicted_Types,latitude,longitude,Categories,votes,Place_Name
Manali,12. paraglide in the skies,4.0, 2 km  from city center ," The hillside town of Manali is famous for paragliding. At 2050 metres above sea level, it is an ultimate location for the sport, with its beautiful green valleys, stark blue skies, and snow-capped mountain peaks. The picture-perfect valley boasts of ideal wind conditions for paragliding and is thronged by both international and domestic tourists. Starting with a basic training course, the operators are well organized, competent and trustworthy. 
 ",tent mount rat deal picture ski mountain paragliding,32.2223044,77.1930262,"Adventure, Scenic, Adventure and Trekking",,skies 
Manali,13. atal tunnel,, 17 km  from city center ," Also referred to as the Rohtang Tunnel, Atal Tunnel is a horseshoe-shaped highway tunnel that connects Manali and the Lahaul-Spiti valley, reducing the time taken by around 4-5 hours. Named after the former prime minister Atal Bihari Vajpayee, the tunnel is the worldâs longest one above 10,000 feet and is constructed in the Pir Panjal ranges, under the Rohtang Pass. It is an all-weather tunnel that has made possible the entry into the valley, which is usually landlocked during the winter months. The tunnelâs North End brings visitors into Sissu, which is surrounded by high peaks.
 ",,32.3997343,77.1485446,Other,, atal tunnel 
Manali,14. sissu,, 27 km  from city center ," Also known as Khwaling, Sissu in Lahaul, Himachal Pradesh, is situated on the right bank of Chandra River. A drive out of the North End of the Rohtang/Atal Tunnel will bring tourists into Sissu, set amidst high peaks like the Gyephang Goh. It draws many visitors owing to the breathtaking view of the waterfall, locally called Palden Lhamo dhar. Tea stalls provide refreshments while Hotel Triveni, Hotel Plm Dhara and several homestays offer accommodation.  ",waterfall raw river accommodation,32.473708,77.1240235,"Beach Holidays, Offbeat and Eco-Tourism, Scenic",,sissu 
Manali,15. take a dip in the vashisht baths,3.7, 1 km  from city center ," Located inside the very famous Vashisht Temple in Manali, Vashisht Baths is a hot water spring, believed to possess medicinal values. Also known as Vashisht Springs, it is visited by a lot of tourists, many of whom take a dip in the holy water to rid themselves of skin diseases and infections. ",lot temple ski,32.265651,77.1879738,"Adventure and Trekking, Adventure, Historic Sites",75.0,vashisht baths 
Manali,16. tour in the museum of himachal culture & folk art,, 1 km  from city center ," Museum of Himachal Culture & Folk Art has a beautiful collection of ancient and traditional heritage belonging to the region. The antique artefacts on display at the museum give insights into the long forgotten art, handicraft and the ancient culture of Himachal Pradesh.  ",sight tradition handicraft museum raft,32.246197,77.1806152,"Beach Holidays, Offbeat and Eco-Tourism, Scenic",45.0,Himachal state musuem
Manali,17. picnic in van vihar,3.4, 0 km  from city center ," Adorned with sky touching deodar trees, Van Vihar National Park,is located near the Mall Road making it easily accessible. The favourite attraction of this park is a man-made lake that is open for boating.


 ",picnic lake rite,32.2374315,77.1828514,"Beach Holidays, Offbeat and Eco-Tourism, Scenic",634.0, van vihar 
Manali,18. rafting,, 18 out of 50  places to visit in Manali ,"  River Rafting in Manali is done along the River Beas and is considered ideal for expert rafters as well as beginners. The section of rafting starts from a small district called Pirdi, usually at 10:00 AM and takes about 1.5 hours. It is open throughout the week and people are advised to avoid the time when there is heavy rainfall which can lead to the rise in water level. The total cost of rafting in Kullu-Manali ranges from INR 500 to INR 2000 per person.
 ",deal inn river raft,32.1671109,77.1651078,"Beach Holidays, Offbeat and Eco-Tourism, Scenic",,rafting manali
Manali,19. naggar,3.4, 14 km  from city center ," Naggar is an unexplored and modest town in the Kullu district, which will give you all the time to leisurely walk around, rest and rejuvenate amongst mountains, valleys, lush greenery and the River Beas flowing in much proximity. ",mount mountain river explore,32.1137308,77.1646535,"Scenic, Adventure, Offbeat and Eco-Tourism",, naggar 
Manali,20. bhrigu lake,3.2, 8 km  from city center , Bhrigu Lake is a high altitude lake located in the district of Kullu about 40 kilometres away from Manali. The route to the lake passes through mesmerising meadows. Not many tourists know about the beautiful Bhrigu Lake Meadows that can be compared with the alpine meadows found at high altitude locations like Switzerland.  ,lake,32.293216,77.2425449,"Beach Holidays, Offbeat and Eco-Tourism, Scenic",626.0,bhrigu lake 
Manali,21. kullu,3.4, 32 km  from city center ," This sister town to Manali too, is a hill station of dreamy landscapes and sceneries, a hub of adventure activities as well as home to a number of sacred temples and shrines. ",dream adventure temples temple venture,32.2394721,77.1871198,"Religious Sites, Historical and Architectural Marvels, Adventure Sports",,kullu 
Manali,22. adventure activities,3.7, 12 km  from city center ," Manali is the hub of adventure activities in Himachal Pradesh. From white river rafting to trekking opportunities to zorbing to horse-riding to skiing to paragliding, Manali has everything to offer. ",skiing trek adventure ski venture river paragliding trekking raft,32.0976161,77.1852845,"Adventure, Adventure and Trekking, Adventure Sports",,"paragliding,kullu manali"
Manali,23. ski in the chilling snow,4.0, 9 km  from city center ," A major tourist spot of North India, Manali is known for its excellent skiing conditions with skiing enthusiasts visiting from all over the country. The undulating slopes of Solang Valley and Rohtang Pass are perfect for skiing. They are popular for amateurs to learn their first move while ideal grounds for professional skiing in Manali. So, if you are an adventure lover, leave yourself in the hands of your professional trainers to feel the thrill of skiing in the picturesque setting of Manali. ",skiing adventure pot deal picture ski venture,32.327815,77.1028148,"Adventure, Adventure and Trekking, Adventure Sports",, chilling snow 
Manali,24. trek to cafes in malana,3.4, 21 km  from city center ," This village in Kullu, is a bit of shift in the world as we know it. There are around 200-300 stone roof houses sheltering 1500 people in this settlement which is one of its kind. ",trek house villa,32.2409304,77.1885012,"Beach Holidays, Offbeat and Eco-Tourism, Scenic",, malana 
Manali,25. himalaya nyingmapa buddhist temple,, 0 km  from city center ," Himalayan Nyingmapa Gompa is a Buddhist Monastery located in Manali and is one of the most famous monasteries situated in north India. Its religious significance is highly essential for devotees, but tourists are also drawn for its architectural beauty and tranquillity in the environment.  ",sign architectural raw temple religious,32.2415409,77.1868036,"Historical and Architectural Marvels, Spiritual Journeys, Wellness",1944.0, nyingmapa buddhist temple 
Manali,26. hike through the kothi village,, 8 km  from city center , Kothi Village is a perfect camping destination and draws tourists for adventure and recreational activities from all across the world. Most trekkers on their way to Rohtang Pass often camp at the village. ,trek adventure raw camping villa hike venture camp,32.3163855,77.190017,"Adventure Sports, Adventure and Trekking, Adventure",, kothi village 
Manali,27. trek through the great himalayan national park,3.4, 63 km  from city center ," The newest addition to the list of National parks in India, The Great Himalayan National Park is quickly becoming what the wildlife scene in the region is being identified with and defined by. ",trek national parks wildlife,31.9587327,77.347766,"Nature and Wildlife, Family-Friendly, Adventure",, himalayan national park 
Manali,28. dwell the landscape of gulaba,, 0 km  from city center ," Gulaba is a beautiful little village located about 20 kilometres from Manali on the route to Rohtang Pass. Gulaba has an enchanting natural landscape that attracts tourists in large numbers. One can explore the region trekking, set up a camp to soak in its natural beauty.  ",trek villa natural camp trekking explore,32.3179031,77.1893396,"Nature and Wildlife, Adventure and Trekking, Adventure",3238.0, gulaba 
Manali,29. rahala falls,, 11 km  from city center , Rahala Falls is a well-known picnic spot for locals and tourists on their way to Rohtang Pass from Manali often halt to explore the waterfall. The water found at the Rahala Falls is usually cold as the water comes from a melting glacier situated in the Himalayas. The surrounding is thickly vegetated with deodar and Silver Birch trees.  ,waterfall pot falls picnic explore,32.3363624,77.2183648,"Beach Holidays, Offbeat and Eco-Tourism, Scenic",730.0, rahala falls 
Manali,30. trek to the beas kund,4.4, 17 km  from city center ," The Beas Kund trek is a perfect weekend getaway trekÂ with outstanding views of Pir Pinjal mountain ranges over the Beas river. let your soul get wooed by the spectacular meadows of Dhundi and Bakarthach and finally, the glacial lake at Beas Kund which is worth all the hiking. ",hiking trek mount mountain river lake,31.7591756,76.0923869,"Scenic, Adventure, Adventure and Trekking",193.0, beas kund 
Manali,31. trek the hampta pass,3.5, 1 km  from city center ," Hampta Pass, situated in the Manali region of the Himachal Pradesh, serves as one of the most convenient and enjoyable treks. Laden with pristine form of nature, the trail comprises of dense pine forests, pristine glacial valleys, vast meadows and panoramic landscape. ",trek,32.2703693,77.3465824,"Beach Holidays, Offbeat and Eco-Tourism, Scenic",604.0, hampta pass 
Manali,32. chill at the club house,, 2 km  from city center ," Club House located in Old Manali is a retreat that offers several facilities and recreational activities for tourists and is, therefore, preferred by tourists. The Club House is said to be one such place in Manali that has something for everyone whether it is indoor games/ sports, entertainment or recreational activities.  ",entertainment club house,32.2542561,77.1828838,"Entertainment, Beach Holidays, Offbeat and Eco-Tourism",, club house 
Manali,33. explore the wildlife at manali sanctuary,3.9, 1 km  from city center ," Manali Sanctuary is home to Mona- the state bird of Himachal Pradesh and a number of other rare and local species. Find here Brown Bear, Musk Dear and maybe even a Snow leopard. ",bird wildlife explore sanctuary,32.2488766,77.1781113,"Scenic, Adventure, Offbeat and Eco-Tourism",, manali sanctuary 
Manali,34. pray at the jagatsukh temple,, 4 km  from city center ," Jagatsukh is a picturesque village, and the capital of Kullu locates about 7 kilometres away from the town of Manali. It is famous for its scenic natural landscape and the ancient Jagatsukh Temples which are religiously important shrines dedicated to Lord Shiva and Goddess Sandhya Devi.  ",scenic villa picture temples temple natural religious,32.2006455,77.2039533,"Religious Sites, Spiritual Journeys, Nature and Wildlife",, jagatsukh temple 
Manali,35. click pictures at nehru kund,3.4, 8 km  from city center ," Nehru Kund gets its name from the first Prime minister of India, Jawaharlal Nehru who is said to have had water from the natural spring, when he used to stay in Manali. One still finds here some cold and pristine water running here and a breath-taking scenery of mountains and valleys all around. ",mount picture mountain natural,32.2859822,77.1798238,"Nature and Wildlife, Scenic, Adventure",6851.0,nehru kund 
Manali,36. chandrakhani pass and the parvati valley,3.4, 19 km  from city center ," Located at an altitude of 3660 m in the Kullu Valley, Chandrakhani Pass offers the tourists a fabulous view of Deo Tibba Peak, Pir Panjal and Parbati range of mountains. The expedition to this region introduces you to various hilly cultures of Himachal Pradesh that are extremely popular. In order to reach the serene pass, you have to pass through Malana. ",order mount mountain,31.9680313,77.3509899,"Scenic, Adventure, Offbeat and Eco-Tourism",, parvati valley 
Manali,37. bara bhangal kalihani trek,3.5, 37 km  from city center ," Bara Bangal Trek, also known as the Shepherds trail trek, takes you from the lush green Kullu valley to the stark landscapes of Bara Bhangal range.  ",trek,32.28159,76.946405,"Beach Holidays, Offbeat and Eco-Tourism, Scenic",, kalihani trek 
Manali,38. hampta valley,, 14 km  from city center ," Hampta Valley is known for its magnificent views of the mountains and adventure sports and has the 4,250 m-high Hampta Pass that serves as a corridor between Lahaulâs Chandra Valley and Kullu Valley. The valley is perfect for trekking during the summer and winter months. It takes trekkers through alpine and rhododendron forests, green meadows, waterfalls and vertical rock fall while providing excellent views of the snow-covered Pir Panjal peaks. While the option to camp here is open throughout the year (near a riverside), the winter months offer the chance to set up a bonfire while having a hot meal. ",waterfall rivers trek adventure chance mount falls venture mountain river camp trekking,32.2703693,77.3465824,"Scenic, Nature and Wildlife, Adventure Sports",604.0, hampta valley 
Manali,39. deo tibba base camp trek,3.5, 19 km  from city center ," Cradled in the lap of Himalayan Mountains in Himachal Pradesh, Deo Tibba trek is steeped with the richness of the nature and stunning landscapes. It is a spectacular trail passing through series of grazing pastures of Gaddi shepherds. ",trek mount mountain camp,32.1453446,77.2619933,"Scenic, Adventure, Offbeat and Eco-Tourism",, deo tibba base camp 
Manali,40. gayatri temple,3.4, 5 km  from city center ," Situated 7 km away from Manali, the Gayatri temple houses an idol of Goddess Gayatri, made of marble. This temple has some splendid architecture styles, is constructed with a stunning artistic finesse and with some of the most intricate woodwork. ",house temple artistic,32.2001603,77.2035598,"Cultural Immersion, Cultural, Beach Holidays",,gayatri temple 
Manali,41. gadhan thekchhokling gompa monastery,, 0 km  from city center ," Gadhan Thekchhokling Gompa is a well known religious centre primarily for the Buddhists. However, people belonging to any religious belief are welcome to explore and soak in the divine spiritual vibe. The monastery is a small shrine dedicated to Lord Buddha.  ",spiritual religious explore ritual,32.2362629,77.1879479,"Spiritual Journeys, Wellness, Beach Holidays",, gompa monastery 
Manali,42. pray at siyali mahadev temple,, 1 km  from city center , Siyali Mahadev Temple is a place of worship dedicated to Lord Shiva and is known as one of the oldest temples of Lord Shiva in the region. The sight of the temple from afar astounds everyone as they witness this unique structure amidst the beautiful natural landscape of Manali.  ,sight temples temple natural,32.2459588,77.1835556,"Religious Sites, Nature and Wildlife, Historical and Architectural Marvels",,siyali mahadev temple 
Manali,43. keylong,, 40 km  from city center ," Nestled between the Lahaul and Spiti district in the state of Himachal Pradesh, Keylong is a serene place perfect for a getaway to unwind. Due to the dry cold weather, the place does not have a lot greenery? but the snow covered mountains covered with mist are picturesque. Situated at an altitude of 3080 meters, Keylong also has a rich culture.  ",mount lot picture mountain,32.4156458,77.1006253,"Scenic, Adventure, Offbeat and Eco-Tourism",8.0,keylong 
Manali,44. trek to the chandratal baralacha lake,3.5, 48 km  from city center ," Chandratal Baralacha is a perfect trek destination steeped with all the right elements - nature's beauty and enough challenges to be thrilling and tranquillity. Perched at an altitude of 4,300 meters, Chandratal is one of the high altitude lakes in the Himalayan region. Located on the Samudra Plateau of Spiti Valley, the most delightful sight of sunset gleaming upon the turquoise waters of the lake, pristine landscape, mountain passes, several gushing streams, verdant meadows, the gush of colourful orchards and exotic wildlife make Chandratal Baralacha Trek an unforgotten experience to cherish forever. ",trek mount rat sight lakes hall mountain wildlife lake,32.2402404,77.1935845,"Scenic, Nature and Wildlife, Adventure",16.0, chandratal baralacha lake 
Manali,45. marvel at the gauri shankar temple,, 14 km  from city center , Gauri Shankar Temple is dedicated to Lord Shiva and is located in the village of Naggar in Manali. It is mostly visited by tourists and devotees of Shiva. The temple is a small structure carved out of stones but has immense historical importance in the region.  ,historical villa temple historic,32.1131198,77.1641185,"Historical and Architectural Marvels, Historic Sites, Cultural",163.0, gauri shankar temple 
Manali,46. rozy waterfalls,, 11 km  from city center ," Rozy Falls is situated en-route Rohtang from Manali and is a popular tourist attraction. Enveloped in tall deodar trees, dense woods and bounteous nature, the silvery cascading water is a visual delight to the eyes and a famous picnic spot. ",waterfall pot falls picnic,32.2001017,77.1751658,"Beach Holidays, Offbeat and Eco-Tourism, Scenic",, rozy waterfalls 
Manali,47. zorbing in manali,, 9 km  from city center ," Zorbing is a fun hill-sport in this region that takes advantage of the picturesque downward slopes of the Himalayas. The thrill of rolling down picturesque views at a speed that is not in your control is not just exhilarating but also alluring for zorbers. While zorbing has become a popular recreational activity, Zorbing in Solang Valley is a wholly new experience. Professional instructors ensure that you are well instructed and safe throughout the activity. ",rat picture,32.2577695,77.1771563,"Beach Holidays, Offbeat and Eco-Tourism, Scenic",,"zorbing,manali"
Manali,48. winter carnival manali,, 48 out of 50  places to visit in Manali ," The Manali Winter Carnival is Himachal Pradesh's way of welcoming the new year. It started in 1977 and had become an annual feature since then. Held in January, the Winter Carnival in Manali opens an opportunity to witness the beauty of slushy snow and enjoy the events and celebrations that it puts forth. Initially, it only comprised of the Skiing competition, but now it has come to include band performances, food festivals, street plays, folk dances, adventure sports and much more. ",skiing food adventure rat fort carnival ski venture festival,32.2394721,77.1871198,"Culinary Experiences, Food, Adventure",, winter carnival manali 
Manali,49. roerich art gallery and estate,, 49 out of 50  places to visit in Manali ," Nicholas Roerich was a famous Russian artist and philosopher. Some people in Russia consider him as a spiritual leader. He had lived across the world, and decided to settle in the small town of Naggar in the early 1900s. The estate houses a good collection of his art, and also his car and the house where he stayed. 

The estate of Roerich is located at a slightly secluded location - although not too far from the Naggar Castle (around 20mins of walk). The estate has a really nice forest area or garden with a large number of deodar trees, and a great view of the peaks around. Even if you are not very interested in art, it's a good walk to the art gallery and then the views from the estate are pretty nice.  ",castle house spiritual ritual,32.2396325,77.1887145,"Spiritual Journeys, Wellness, Beach Holidays",2.0, roerich art gallery
Manali,50. bhunter,3.4, 40 km  from city center ," What is generally overlooked as a town of utility only, with an airport and the last ATM before you travel to higher altitudes, is a town where one can have a calm, simple and almost idle break from the popular Himachal hill stations and their tourist rush. ",break,32.055156,77.1632328,"Beach Holidays, Offbeat and Eco-Tourism, Scenic",,bhunter 
Leh Ladakh,1. pangong lake,4.4, 156 km  from city center ," The most popular tourist attraction in Ladakh, Pangong lake is an endorheicÂ (landlocked) lake situated at 4350 meters. Also known as Pangong Tso it is 12 kilometres long and extends from India to Tibet. Almost 60% of Pangong Lake lies in the Tibetan Autonomous Region. AÂ unique feature of the lake is that it does not remain blue throughout the year or even the day, rather it changes colours from azure to light blue to green and grey too! It is famous amongst tourists as Ladakh lake, the spot where the Bollywood movie ""3 Idiots"" was shot. ",rat pot lake,33.8220691,78.7235888,"Beach Holidays, Offbeat and Eco-Tourism, Scenic",,pangong lake 
Leh Ladakh,2. khardung la pass,4.3, 20 km  from city center ," Khardung La, also known as Khardzong La, is one of the highest motorable roads in India at an elevation of 5602 metres. It serves as the gateway to Shyok and Nubra Valley. An inner line permit is required to visit. It remains closed from October to May. ",inn gateway,34.1872139,77.5988507,"Beach Holidays, Offbeat and Eco-Tourism, Scenic",,khardung la pass 
Leh Ladakh,3. nubra valley,3.6, 71 km  from city center ," Nubra Valley lies in the union territory of Jammu & Kashmir, at a distance of around 140 Km from Leh.Â With arid mountains in the backdrop,Â it is famous for the Bactrian camel rides, orchards and monasteries. Surrounded by snow-dusted Himalayan mountains, it can be reached via Khardung La. ",mount mountain,34.6863141,77.567288,"Scenic, Adventure, Offbeat and Eco-Tourism",2714.0,nubra valley 
Leh Ladakh,4. sangam,4.4, 23 km  from city center ," Sangam is the confluence of Indus and Zanskar Rivers in Ladakh. The two rivers can be separately seen meeting at this point. While the Indus River appears as shiny blue, Zanskar River appears muddy green.  ",rivers rat river,34.1653744,77.332813,"Nature and Wildlife, Scenic, Beach Holidays",51.0,sangam 
Leh Ladakh,5. shanti stupa,4.3, 2 km  from city center ," The Shanti Stupa is a white-domed Buddhist monument. It is a religious place for Buddhists as it holds the relics of Buddha, consecrated by the 14th Dalai Lama. It looks exceptionally beautiful during the full moon night. ",rat hold monument religious,34.1736196,77.5749988,"Spiritual Journeys, Wellness, Beach Holidays",5829.0, shanti stupa 
Leh Ladakh,6. tso moriri lake,4.3, 155 km  from city center ," Tso Moriri is the largest high altitude lakes in India, at an altitude of 4,595m. It is a twin to Pangong Lake. It is accessible only during the summer months and an inner line permit is required for visiting. ",lakes inn lake,34.1662616,77.5667382,"Nature and Wildlife, Scenic, Beach Holidays",,tso moriri lake 
Leh Ladakh,7. magnetic hill,4.3, 21 km  from city center , The popular Magnetic Hill of Ladakh is a cyclops hill where vehicles seem to move upwards on the hill instead of rolling downwards. It is located 30km from Leh towards Kargil. ,,34.1762933,77.3551441,Other,701.0, magnetic hill 
Leh Ladakh,8. hall of fame museum,3.3, 4 km  from city center ," Located at approximately 4 km from the main city, this glorified museum was built in memory of the brave soldiers who lost their lives fighting for India at the Indo-Pakistan war. ",hall museum,34.1662616,77.5667382,"Beach Holidays, Offbeat and Eco-Tourism, Scenic",,
Leh Ladakh,9. thiksey monastery,, 13 km  from city center , Thiksey Monastery is a Tibetan-style monastery located 20km south of Leh. The main highlight is the Maitreya Temple which houses a 15-metre high Maitreya Buddha statue. It is the largest such statue in Ladakh. ,house temple,34.0906629,77.5969437,"Beach Holidays, Offbeat and Eco-Tourism, Scenic",4983.0,thiksey monastery 
Leh Ladakh,10. zanskar valley,4.0, 100 km  from city center , Located in the Kargil district to the east of Ladakh (around 105 km) lies the bewitching Zanskar Valley. The semi-desert region isÂ flanked by snow-capped mountains and sparkling clean rivers along with distinct flora and fauna.Â The easiest way of reaching Zanskar is from Kargil through Suru Valley. ,rivers mount desert mountain river,34.1639927,77.462003,"Scenic, Nature and Wildlife, Adventure",,zanskar valley 
Leh Ladakh,11. shey monastery and palace,, 10 km  from city center ," Shey Monastery or the Shey Palace is an ancient monastery. It once served as the summer capital of Ladakh but is mostly in ruins now. Located on top of a hillock, it offers stunning panoramic views. The highlight of the monastery is 39ft tall Shakyamuni Buddha statue. A special permission needs to be taken to visit the monastery. ",ruins palace ruin,34.0715916,77.6329675,"Historical and Architectural Marvels, Historic Sites, Cultural",, shey monastery and palace 
Leh Ladakh,12. stok palace,3.6, 9 km  from city center ," Located around 15km from Leh, the Stok Palace is the summer home to the royal family of Ladakh and descendants of King Sengge Namgyal. It was established in 1820 by King Tsepal Namgyal and was opened to the public in 1980 by the Dalai Lama. The Stok Palace has been converted into a heritage hotel and houses the Stok Palace Museum and Temple. ",house temple palace museum,34.0731439,77.5487313,"Beach Holidays, Offbeat and Eco-Tourism, Scenic",,stok palace 
Leh Ladakh,13. hemis monastery,3.5, 29 km  from city center ," Hemis is a Buddhist monastery ranked as one of the wealthiest monasteries in India. It is most visited during the annual Hemis Festival, held every year in early June. The monastery is well-connected with motorable roads. ",festival,33.9130658,77.706498,"Beach Holidays, Offbeat and Eco-Tourism, Scenic",, hemis monastery 
Leh Ladakh,14. white water rafting,4.2, 23 km  from city center ," Rafting expedition is done on Zanskar River, called the Grand Canyon of India, with high cliff like gorges at certain places. The Zanskar Rafting expedition is one of The best river trips in The world. ",river raft,34.1726668,77.4657594,"Beach Holidays, Offbeat and Eco-Tourism, Scenic",,white water rafting 
Leh Ladakh,15. pathar sahib gurudwara,4.1, 22 km  from city center ," Gurudwara Pathar Sahib is a beautiful gurudwara, dedicated to Guru Nanak Dev. It is highly revered as it houses a rock which resembles Guru Nanak's back. It is built at the site where he is believed to have vanquished a demon.  ",house,34.1916886,77.375787,"Beach Holidays, Offbeat and Eco-Tourism, Scenic",3716.0, pathar sahib gurudwara 
Leh Ladakh,16. kargil,3.3, 140 km  from city center ," Kargil lies near the Line of Control facing Pakistan-administered Kashmir's Baltistan to the west, and Kashmir valley to the south. Zanskar is part of Kargil district along with Suru, Wakha and Dras valleys. Kargil was at the center of a conflict between India and Pakistan in 1999. ",,34.5583832,76.1345276,Other,,kargil 
Leh Ladakh,17. likir monastery,3.6, 37 km  from city center ," The Likir Monastery is the oldest monastery in Ladakh, located around 52 km from Leh in the scenic Likir village. Belonging to the Gelugpa sect of Tibetan Buddhism, the main attraction here is a 75 feet large seated statue of Maitreya Buddha gilded in gold. There are also various paintings of guardian divinities, murals and thangkas that adorn the walls of assembly halls. ",gild scenic wall painting villa hall paint,34.2931967,77.21511,"Scenic, Adventure, Offbeat and Eco-Tourism",454.0, likir monastery 
Leh Ladakh,18. alchi,3.5, 38 km  from city center ," Located in the Alchi Village of Ladakh, Alchi Monastery is a complex of Buddist temples of which Alchi Monastery is the oldest and most famous. Cemented on a flat ground unlike other monasteries in Ladakh, the traditional architecture of the monastery is a monastic complex which has 3 separate temples, known as Dukhang, Sumstek and the Temple of Manjushri. ",rat tradition villa temples temple,34.2267815,77.1712197,"Religious Sites, Historical and Architectural Marvels, Cultural",,alchi 
Leh Ladakh,19. spituk monastery,4.2, 6 km  from city center ," Spituk Monastery also called Spituk Gompa, is a Buddhist monastery located about 8 kms from Leh. One of the most dazzling monasteries in India, it houses 100 monks and a giant statue of Kali. It is famous for its collection of Buddhist objects of antique arms, icon, ancient masks and numerous Thangka paintings. ",painting house paint,34.1257376,77.5259931,"Beach Holidays, Offbeat and Eco-Tourism, Scenic",,spituk monastery 
Leh Ladakh,"20. diskit monastery, lachung temple and hundur monastery.",3.2, 44 km  from city center ," Also known as Deskit/ Diskit Gompa, this is the oldest and largest monastery in Nubra valley, belonging to Gelugpa (yellow hat) sect of Tibetan Buddhism. ",temple ski,30.9498621,83.1333626,"Adventure and Trekking, Adventure, Historic Sites",,lachung temple 
